OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
8750882975,02:19:30.003,+01:22:37.46,2000.0,21.76,r,305,1,1,-10
8849095730,02:19:32.363,+01:22:45.79,2000.0,20.44,r,585,1,1,-10
9035180175,02:19:36.862,+01:22:59.51,2000.0,21.74,r,80,1,1,-10
9107921332,02:19:38.592,+01:23:02.50,2000.0,21.21,r,1615,1,1,-10
9176953371,02:19:40.247,+01:23:08.61,2000.0,20.99,r,698,1,1,-10
9256705564,02:19:42.167,+01:23:15.23,2000.0,21.58,r,971,1,1,-10
9492784654,02:19:47.843,+01:23:12.57,2000.0,21.21,r,976,1,1,-10
8793852530,02:19:31.060,+01:23:36.51,2000.0,21.15,r,652,1,1,-10
9026569754,02:19:36.647,+01:24:27.76,2000.0,20.64,r,306,1,1,-10
9266753387,02:19:42.444,+01:24:08.90,2000.0,21.52,r,475,1,1,-10
9305635132,02:19:43.358,+01:24:14.48,2000.0,20.93,r,1483,1,1,-10
8908762711,02:19:33.839,+01:24:36.69,2000.0,19.94,r,3437,1,1,-10
9388271132,02:19:45.296,+01:25:02.19,2000.0,20.87,r,285,1,1,-10
9423632042,02:19:46.163,+01:25:04.61,2000.0,20.58,r,2359,1,1,-10
9626848977,02:19:51.032,+01:25:25.70,2000.0,21.22,r,1800,1,1,-10
9645540741,02:19:51.491,+01:25:01.27,2000.0,21.65,r,428,1,1,-10
9383432784,02:19:45.185,+01:25:37.08,2000.0,21.55,r,609,1,1,-10
9363108035,02:19:44.732,+01:26:52.18,2000.0,20.08,r,2187,1,1,-10
9859219521,02:19:56.635,+01:34:57.19,2000.0,20.77,r,795,1,1,-10
9546287673,02:19:49.104,+01:30:51.63,2000.0,20.49,r,8742,1,1,-10
9793553719,02:19:55.045,+01:30:39.82,2000.0,20.17,r,5453,1,1,-10
0024114995,02:20:00.572,+01:30:43.40,2000.0,20.89,r,3265,1,1,-10
0059844800,02:20:01.460,+01:30:42.98,2000.0,21.09,r,1668,1,1,-10
0131382139,02:20:03.157,+01:30:35.03,2000.0,20.41,r,2195,1,1,-10
0134419226,02:20:03.211,+01:30:56.52,2000.0,21.57,r,902,1,1,-10
8803566017,02:19:31.273,+01:22:16.59,2000.0,21.87,r,471,1,1,-10
9198428679,02:19:40.751,+01:26:24.95,2000.0,21.11,r,2251,1,1,-10
9133609001,02:19:39.197,+01:27:25.61,2000.0,20.24,r,3667,1,1,-10
9224990049,02:19:41.396,+01:26:58.69,2000.0,20.35,r,7764,1,1,-10
9331984546,02:19:43.963,+01:27:12.19,2000.0,21.54,r,663,1,1,-10
9490256211,02:19:47.784,+01:27:17.43,2000.0,19.38,r,11294,1,1,-10
9714436083,02:19:53.151,+01:27:16.73,2000.0,21.50,r,800,1,1,-10
9789921974,02:19:54.950,+01:31:04.45,2000.0,20.19,r,6217,1,1,-10
0129498006,02:20:03.095,+01:31:22.40,2000.0,21.56,r,839,1,1,-10
0017710726,02:20:00.422,+01:35:00.26,2000.0,21.47,r,130,1,1,-10
0086422896,02:20:02.079,+01:35:07.40,2000.0,22.08,r,447,1,1,-10
0261166206,02:20:06.276,+01:35:17.31,2000.0,21.77,r,303,1,1,-10
9292576495,02:19:42.998,+01:27:48.11,2000.0,21.97,r,457,1,1,-10
9567353390,02:19:49.621,+01:27:38.90,2000.0,20.30,r,4623,1,1,-10
9729771344,02:19:53.522,+01:31:32.67,2000.0,19.79,r,8555,1,1,-10
9942186120,02:19:58.600,+01:31:47.06,2000.0,21.14,r,811,1,1,-10
9911610530,02:19:57.867,+01:35:30.25,2000.0,20.89,r,1894,1,1,-10
0067995633,02:20:01.654,+01:35:45.52,2000.0,20.69,r,613,1,1,-10
0228047487,02:20:05.483,+01:35:51.03,2000.0,19.29,r,11445,1,1,-10
9319372177,02:19:43.668,+01:28:05.04,2000.0,21.96,r,120,1,1,-10
9613850124,02:19:50.711,+01:27:59.13,2000.0,21.64,r,19,1,1,-10
9685065600,02:19:52.430,+01:32:15.19,2000.0,20.39,r,4322,1,1,-10
0023607046,02:20:00.556,+01:32:19.38,2000.0,21.63,r,367,1,1,-10
0092818256,02:20:02.230,+01:32:23.44,2000.0,21.51,r,606,1,1,-10
0158101398,02:20:03.785,+01:32:02.79,2000.0,21.44,r,321,1,1,-10
0083193347,02:20:02.012,+01:36:08.42,2000.0,21.03,r,2339,1,1,-10
0244410143,02:20:05.878,+01:35:59.11,2000.0,19.47,r,1762,1,1,-10
9322557262,02:19:43.734,+01:28:50.19,2000.0,21.39,r,502,1,1,-10
9521612196,02:19:48.521,+01:28:34.93,2000.0,20.96,r,1718,1,1,-10
9605171618,02:19:50.529,+01:28:33.64,2000.0,20.85,r,1995,1,1,-10
9672764688,02:19:52.179,+01:28:42.10,2000.0,21.26,r,1916,1,1,-10
9685379059,02:19:52.441,+01:28:55.83,2000.0,21.18,r,1417,1,1,-10
9770710577,02:19:54.507,+01:28:30.32,2000.0,22.02,r,551,1,1,-10
9781634698,02:19:54.760,+01:32:42.54,2000.0,21.06,r,515,1,1,-10
0000600826,02:20:00.020,+01:33:01.36,2000.0,21.57,r,985,1,1,-10
0237721931,02:20:05.702,+01:33:04.29,2000.0,20.45,r,3838,1,1,-10
9512307447,02:19:48.286,+01:29:50.86,2000.0,20.75,r,4026,1,1,-10
9547892639,02:19:49.168,+01:29:36.64,2000.0,20.59,r,2513,1,1,-10
9553587434,02:19:49.271,+01:29:51.44,2000.0,21.20,r,1822,1,1,-10
9643608861,02:19:51.440,+01:29:55.12,2000.0,20.85,r,3575,1,1,-10
9755728629,02:19:54.151,+01:29:54.44,2000.0,19.97,r,4346,1,1,-10
9835880730,02:19:56.041,+01:29:30.82,2000.0,20.94,r,2498,1,1,-10
9912550105,02:19:57.882,+01:29:29.10,2000.0,20.56,r,2081,1,1,-10
0035659855,02:20:00.852,+01:29:58.01,2000.0,20.39,r,4208,1,1,-10
0059172775,02:20:01.422,+01:29:36.79,2000.0,21.41,r,72,1,1,-10
9743676269,02:19:53.851,+01:33:47.41,2000.0,21.72,r,822,1,1,-10
9839245911,02:19:56.157,+01:33:46.20,2000.0,21.86,r,592,1,1,-10
9984755545,02:19:59.618,+01:33:45.14,2000.0,21.00,r,551,1,1,-10
0127814804,02:20:03.079,+01:33:43.07,2000.0,21.37,r,586,1,1,-10
0328901916,02:20:07.897,+01:33:34.41,2000.0,20.45,r,4275,1,1,-10
0338435776,02:20:08.148,+01:33:45.60,2000.0,21.38,r,254,1,1,-10
9532222728,02:19:48.789,+01:30:06.87,2000.0,20.58,r,1115,1,1,-10
9801493756,02:19:55.226,+01:30:10.01,2000.0,21.15,r,1422,1,1,-10
9774372874,02:19:54.617,+01:34:06.99,2000.0,21.52,r,1071,1,1,-10
